"latitude","longitude","date","CyAN_CI_cells_ml","CyFi_cells_ml"
26.9456187017659,-80.8331578130505,"2019-07-03",30242.0620405156,10585
26.9456187017659,-80.8331578130505,"2019-07-07",12417.9355072395,10384
27.9113865446157,-81.2665105450388,"2019-07-03",299434.198646982,14201
27.9113865446157,-81.2665105450388,"2019-07-04",291465.663855971,12264
27.9113865446157,-81.2665105450388,"2019-07-05",352034.640080662,12990
27.9113865446157,-81.2665105450388,"2019-07-06",268809.987082336,12586
27.9113865446157,-81.2665105450388,"2019-07-07",361659.102324386,13091
27.9113865446157,-81.2665105450388,"2019-07-08",276159.126277323,12822
27.9113865446157,-81.2665105450388,"2019-07-12",333547.277363238,9890
27.9113865446157,-81.2665105450388,"2019-07-15",425190.350647824,9768
27.9712253632218,-81.8380089824864,"2019-07-02",834513.56400065,12114
27.9712253632218,-81.8380089824864,"2019-07-03",929585.626668079,28326
27.9712253632218,-81.8380089824864,"2019-07-04",1035488.78602435,24950
27.9712253632218,-81.8380089824864,"2019-07-06",929585.626668079,24244
27.9712253632218,-81.8380089824864,"2019-07-07",812305.511619333,25086
27.9712253632218,-81.8380089824864,"2019-07-08",857328.774136675,24136
27.9712253632218,-81.8380089824864,"2019-07-11",880767.741436161,19035
27.9712253632218,-81.8380089824864,"2019-07-12",857328.774136675,18726
27.9712253632218,-81.8380089824864,"2019-07-15",834513.56400065,18398
27.9779046943683,-81.5232540583898,"2019-07-12",1035488.78602435,489209
27.9779046943683,-81.5232540583898,"2019-07-15",1063798.56463763,351142
28.023905584016,-81.74417067752,"2019-07-03",371546.69285986,148199
28.023905584016,-81.74417067752,"2019-07-04",299434.198646982,150026
28.0511345845852,-81.6533110440384,"2019-07-02",513548.423083013,177465
28.0511345845852,-81.6533110440384,"2019-07-03",729228.107784489,189595
28.0511345845852,-81.6533110440384,"2019-07-04",769646.679445236,189099
28.0511345845852,-81.6533110440384,"2019-07-05",587694.193708415,184334
28.0511345845852,-81.6533110440384,"2019-07-06",709821.909114728,206724
28.0511345845852,-81.6533110440384,"2019-07-07",769646.679445236,214910
28.0511345845852,-81.6533110440384,"2019-07-12",790688.459326986,164527
28.0511345845852,-81.6533110440384,"2019-07-15",499881.886345736,173713
28.060965274634,-82.2775657832782,"2019-07-02",1153456.97612107,266640
28.060965274634,-82.2775657832782,"2019-07-04",1250671.92228782,271184
28.060965274634,-82.2775657832782,"2019-07-11",1063798.56463763,284406
28.060965274634,-82.2775657832782,"2019-07-15",1007932.38647339,284490
28.0673032235626,-81.931124763678,"2019-07-02",436814.85576831,176780
28.0673032235626,-81.931124763678,"2019-07-03",556830.993077016,182057
28.0673032235626,-81.931124763678,"2019-07-04",513548.423083013,191597
28.0673032235626,-81.931124763678,"2019-07-06",513548.423083013,199418
28.0673032235626,-81.931124763678,"2019-07-07",556830.993077016,195997
28.0673032235626,-81.931124763678,"2019-07-08",654647.328592975,195152
28.0673032235626,-81.931124763678,"2019-07-12",513548.423083013,191611
28.0673032235626,-81.931124763678,"2019-07-15",690932.14767879,190144
28.0790564385853,-81.7982065948177,"2019-07-03",228644.837484919,96991
28.0796187660421,-81.5352939254011,"2019-07-12",342666.303765707,65508
28.0920534904943,-81.6675805499147,"2019-07-04",156734.787709189,23188
28.0997695665893,-81.7435972957896,"2019-07-03",381704.605491386,41124
28.0997695665893,-81.7435972957896,"2019-07-04",381704.605491386,43430
28.0997695665893,-81.7435972957896,"2019-07-06",254693.229333387,42623
28.0997695665893,-81.7435972957896,"2019-07-07",324670.926244608,41815
28.1062989296243,-81.7680134300449,"2019-07-03",413875.19654302,22502
28.1062989296243,-81.7680134300449,"2019-07-04",527588.596536268,23966
28.1062989296243,-81.7680134300449,"2019-07-06",392140.230698514,23007
28.1062989296243,-81.7680134300449,"2019-07-07",513548.423083013,23007
28.1062989296243,-81.7680134300449,"2019-07-08",499881.886345736,23007
28.13805847513,-81.7803108324235,"2019-07-03",110378.223509306,45018
28.13805847513,-81.7803108324235,"2019-07-04",216637.382641607,47136
28.2062711716083,-81.3808267471528,"2019-07-03",46562.4045696293,41349
28.2062711716083,-81.3808267471528,"2019-07-08",291465.663855971,44868
28.2062711716083,-81.3808267471528,"2019-07-12",307620.589448459,43346
28.5403282552535,-80.583492740103,"2019-07-03",620268.033950498,182295
28.5403282552535,-80.583492740103,"2019-07-04",572054.491729812,183023
28.5403282552535,-80.583492740103,"2019-07-05",486579.043114264,166576
28.5403282552535,-80.583492740103,"2019-07-10",299434.198646982,141246
28.5403282552535,-80.583492740103,"2019-07-11",473630.214786862,138345
28.5403282552535,-80.583492740103,"2019-07-12",136960.521189427,138773
28.5403282552535,-80.583492740103,"2019-07-15",620268.033950498,131320
28.6237266281187,-81.6261395680746,"2019-07-03",690932.14767879,30769
28.6237266281187,-81.6261395680746,"2019-07-04",709821.909114728,24842
28.6237266281187,-81.6261395680746,"2019-07-07",857328.774136675,21486
28.6237266281187,-81.6261395680746,"2019-07-08",790688.459326986,20622
28.6237266281187,-81.6261395680746,"2019-07-12",812305.511619333,16652
28.6237266281187,-81.6261395680746,"2019-07-15",749164.862840259,17619
28.7680494951769,-81.8057194028974,"2019-07-12",46562.4045696293,13171
28.7854379049606,-81.6827647960079,"2019-07-03",10851.2407744723,168956
28.7854379049606,-81.6827647960079,"2019-07-04",140704.957716374,174135
28.7854379049606,-81.6827647960079,"2019-07-12",283709.187497171,183345
28.8388133166931,-81.2698731326973,"2019-07-03",122953.076495864,5067
28.8466757747951,-81.7274141661126,"2019-07-03",169944.611972288,18166
28.8466757747951,-81.7274141661126,"2019-07-04",174590.8180987,15693
28.8466757747951,-81.7274141661126,"2019-07-12",234895.88029449,14214
28.8957409981711,-81.8397769315006,"2019-07-03",54741.8411391428,48672
28.8957409981711,-81.8397769315006,"2019-07-04",161019.843424841,48941
28.8957409981711,-81.8397769315006,"2019-07-12",152563.765780278,58887
28.9278226205734,-81.0946859389592,"2019-07-04",620268.033950498,9602
28.9882942463132,-81.3462945004845,"2019-07-03",392140.230698514,41386
28.9882942463132,-81.3462945004845,"2019-07-04",436814.85576831,42428
29.0144174373982,-81.9441993413314,"2019-07-12",184267.778458977,42790
29.0973644089416,-81.4238396741809,"2019-07-03",39605.1260642671,25052
29.0973644089416,-81.4238396741809,"2019-07-08",136960.521189427,30857
29.0973644089416,-81.4238396741809,"2019-07-12",84283.6626216936,37944
29.3003878499413,-81.8653821625855,"2019-07-03",110378.223509306,62472
29.3003878499413,-81.8653821625855,"2019-07-04",184267.778458977,59566
29.3003878499413,-81.8653821625855,"2019-07-12",101798.504987434,63120
29.4599532368457,-81.5008445291026,"2019-07-03",75663.669557331,21308
29.4621304603272,-82.1795791493249,"2019-07-02",241317.823687853,27532
29.4621304603272,-82.1795791493249,"2019-07-03",316030.792341733,27225
29.5100254979671,-82.1311580181668,"2019-07-02",283709.187497171,32350
29.5100254979671,-82.1311580181668,"2019-07-03",324670.926244608,31990
